follower	followee
5	0
9	0
11	0
13	0
18	0
19	0
22	0
59	0
62	0
88	0
145	0
146	0
161	0
201	0
215	0
269	0
315	0
431	0
591	0
639	0
758	0
875	0
882	0
967	0
1155	0
1481	0
1647	0
1883	0
2049	0
2188	0
2677	0
2945	0
3312	0
3357	0
4067	0
4821	0
5441	0
5509	0
5790	0
5869	0
6357	0
7452	0
7625	0
7927	0
7934	0
8112	0
8201	0
8656	0
8922	0
9368	0
9609	0
9622	0
10281	0
10360	0
11114	0
11323	0
12023	0
13746	0
13901	0
14665	0
15724	0
15983	0
16336	0
18369	0
19110	0
19189	0
20606	0
22652	0
22951	0
22990	0
23045	0
23170	0
23364	0
23776	0
23938	0
24359	0
24658	0
26873	0
27367	0
28309	0
38	1
78	1
89	1
219	1
914	1
1617	1
1647	1
2499	1
2817	1
4281	1
6170	1
6485	1
7512	1
7858	1
7927	1
8297	1
8914	1
9753	1
15861	1
18045	1
19189	1
19472	1
22652	1
22655	1
25240	1
28382	1
5	2
10	2
29	2
34	2
37	2
40	2
50	2
54	2
94	2
106	2
146	2
161	2
246	2
291	2
303	2
380	2
420	2
454	2
519	2
619	2
644	2
660	2
682	2
719	2
724	2
738	2
760	2
910	2
1043	2
1090	2
1381	2
1427	2
1820	2
2131	2
2240	2
2451	2
2486	2
2914	2
3031	2
3203	2
3391	2
3480	2
3563	2
3952	2
4232	2
4414	2
4429	2
4827	2
5274	2
5282	2
6333	2
7382	2
8181	2
8307	2
8522	2
9580	2
9702	2
9935	2
10016	2
10129	2
10224	2
10226	2
10254	2
10672	2
10680	2
11130	2
11160	2
11313	2
11734	2
11991	2
12517	2
13303	2
13558	2
14715	2
15335	2
15444	2
15642	2
16730	2
20767	2
21558	2
22820	2
22832	2
22961	2
22990	2
23802	2
25015	2
619	3
743	3
793	3
2451	3
3203	3
3690	3
3852	3
4055	3
4704	3
6036	3
7550	3
9907	3
9935	3
11201	3
11690	3
13772	3
14007	3
14239	3
14507	3
15572	3
15981	3
15982	3
20117	3
23702	3
27996	3
259	4
269	4
635	4
639	4
696	4
716	4
2017	4
2489	4
3980	4
3989	4
5559	4
5790	4
9741	4
9817	4
9935	4
9974	4
10091	4
10754	4
11476	4
11677	4
12023	4
12355	4
12374	4
13774	4
14725	4
14952	4
15166	4
15403	4
21135	4
21423	4
21689	4
22652	4
22838	4
25216	4
0	5
2	5
