follower	followee
3	0
6	0
10	0
14	0
16	0
21	0
22	0
25	0
49	0
60	0
74	0
81	0
93	0
172	0
211	0
261	0
304	0
342	0
444	0
505	0
561	0
677	0
960	0
1200	0
1403	0
1412	0
1534	0
1856	0
2321	0
2910	0
3183	0
3540	0
3641	0
5104	0
5283	0
5422	0
5575	0
6384	0
6451	0
7756	0
8945	0
8983	0
9620	0
9929	0
10563	0
11682	0
12626	0
12808	0
13343	0
13373	0
13679	0
15076	0
15587	0
16196	0
16464	0
17073	0
17138	0
17355	0
18323	0
19391	0
20428	0
22501	0
23093	0
23797	0
25521	0
26298	0
26781	0
27959	0
31070	0
32171	0
33298	0
36395	0
36778	0
36835	0
36926	0
37127	0
37490	0
38089	0
38328	0
38989	0
39052	0
39912	0
41153	0
41919	0
42590	0
44254	0
51	1
74	1
112	1
128	1
450	1
1911	1
1999	1
2002	1
3372	1
3444	1
4597	1
5350	1
5487	1
5670	1
5691	1
6825	1
9929	1
10147	1
13196	1
16116	1
21989	1
26008	1
29475	1
31070	1
36395	1
36400	1
40245	1
44264	1
6	2
13	2
34	2
37	2
42	2
47	2
53	2
63	2
70	2
75	2
133	2
135	2
136	2
211	2
261	2
292	2
453	2
588	2
657	2
759	2
825	2
899	2
973	2
989	2
1035	2
1068	2
1098	2
1160	2
1198	2
1340	2
1462	2
1661	2
1746	2
1984	2
2182	2
2250	2
2818	2
3343	2
3431	2
3496	2
3916	2
3925	2
4623	2
5100	2
5391	2
6284	2
6769	2
7090	2
7206	2
7767	2
8089	2
8450	2
8553	2
8663	2
10747	2
12634	2
13784	2
13979	2
14403	2
16655	2
16741	2
16746	2
16897	2
16967	2
17195	2
17370	2
17472	2
17479	2
18030	2
18282	2
18313	2
18963	2
19065	2
19343	2
20366	2
21461	2
21509	2
21537	2
23866	2
24217	2
24907	2
25102	2
26484	2
27338	2
30435	2
34857	2
36790	2
36835	2
38126	2
39045	2
40045	2
43202	2
0	3
10	3
16	3
21	3
24	3
81	3
88	3
211	3
233	3
261	3
268	3
362	3
373	3
397	3
399	3
409	3
468	3
561	3
651	3
677	3
687	3
699	3
703	3
704	3
1123	3
1124	3
1246	3
1299	3
1999	3
2201	3
2671	3
5427	3
5450	3
7991	3
8144	3
8371	3
9880	3
9933	3
9942	3
11389	3
12755	3
13086	3
13211	3
13506	3
13898	3
14249	3
19966	3
21955	3
22240	3
23320	3
26189	3
27035	3
29502	3
30789	3
31673	3
33387	3
33445	3
33787	3
36395	3
38435	3
38458	3
40813	3
342	4
443	4
444	4
1012	4
1120	4
1148	4
3123	4
3540	4
3920	4
6321	4
6419	4
9092	4
16372	4
16655	4
16699	4
16847	4
17574	4
18553	4
18872	4
19391	4
19793	4
19955	4
19987	4
22287	4
22662	4
23880	4
24469	4
25048	4
34046	4
34052	4
34592	4
34940	4
36395	4
37626	4
40213	4
93	5
1123	5
1299	5
2113	5
3594	5
6823	5
8571	5
14513	5
15587	5
16190	5
36679	5
38652	5
0	6
2	6
13	6
23	6
31	6
34	6
37	6
42	6
47	6
49	6
52	6
53	6
63	6
70	6
71	6
75	6
95	6
133	6
135	6
136	6
211	6
261	6
272	6
292	6
453	6
608	6
647	6
657	6
677	6
678	6
759	6
825	6
899	6
929	6
973	6
996	6
1035	6
1098	6
1215	6
1253	6
1374	6
1679	6
1746	6
1759	6
1941	6
1984	6
2111	6
2182	6
2250	6
2818	6
3214	6
3343	6
3496	6
3925	6
4065	6
4082	6
4623	6
4817	6
5100	6
5626	6
5949	6
6142	6
6170	6
6284	6
6690	6
7889	6
8089	6
8553	6
8815	6
9036	6
9466	6
9929	6
10537	6
10691	6
10969	6
11122	6
11453	6
12179	6
12634	6
13576	6
13979	6
15076	6
15764	6
16169	6
16655	6
16741	6
16746	6
16897	6
17073	6
17105	6
17370	6
17472	6
17479	6
17960	6
18269	6
18313	6
20064	6
21509	6
23536	6
23866	6
24217	6
24907	6
26583	6
27338	6
29184	6
31116	6
32486	6
36395	6
37033	6
37473	6
38065	6
38126	6
38184	6
38792	6
39045	6
40045	6
43202	6
44297	6
10	7
11	7
26	7
161	7
183	7
205	7
211	7
267	7
285	7
324	7
390	7
468	7
500	7
501	7
502	7
516	7
553	7
554	7
645	7
649	7
651	7
690	7
752	7
812	7
820	7
831	7
835	7
878	7
1170	7
1190	7
1200	7
1204	7
1250	7
1294	7
1529	7
1554	7
1742	7
1839	7
2070	7
2592	7
2683	7
3152	7
3259	7
4652	7
4656	7
4817	7
5181	7
5362	7
5445	7
5698	7
5775	7
5888	7
6449	7
8499	7
9276	7
9688	7
12647	7
13257	7
13649	7
13925	7
14545	7
15905	7
17278	7
17865	7
18070	7
19873	7
20088	7
20528	7
28361	7
29223	7
29921	7
30372	7
31031	7
31339	7
34529	7
35013	7
35070	7
35087	7
35323	7
38855	7
6879	8
17386	8
20359	8
21951	8
25285	8
25528	8
40966	8
42275	8
1240	9
1630	9
2249	9
3628	9
4545	9
4549	9
5996	9
6406	9
8570	9
10536	9
12634	9
13926	9
16200	9
18262	9
20361	9
21612	9
21623	9
29648	9
32467	9
37485	9
37626	9
38229	9
0	10
3	10
7	10
11	10
16	10
18	10
26	10
35	10
64	10
161	10
183	10
196	10
211	10
264	10
267	10
272	10
282	10
285	10
324	10
372	10
390	10
468	10
502	10
516	10
522	10
541	10
553	10
554	10
668	10
678	10
733	10
752	10
820	10
831	10
878	10
935	10
1001	10
1170	10
1204	10
1223	10
1294	10
1403	10
1529	10
1649	10
1803	10
2070	10
2321	10
2446	10
3152	10
3351	10
4020	10
4656	10
4785	10
5181	10
5445	10
5698	10
5775	10
5798	10
5888	10
5992	10
6449	10
6645	10
9036	10
9276	10
9688	10
9895	10
11052	10
12647	10
13925	10
14545	10
15861	10
17120	10
17729	10
25820	10
28361	10
29921	10
31339	10
31919	10
34541	10
36395	10
38792	10
38855	10
7	11
10	11
16	11
18	11
22	11
26	11
64	11
183	11
196	11
211	11
272	11
282	11
294	11
314	11
324	11
372	11
390	11
456	11
468	11
501	11
516	11
522	11
541	11
553	11
554	11
733	11
752	11
812	11
815	11
820	11
831	11
878	11
935	11
1023	11
1170	11
1174	11
1204	11
1223	11
1294	11
1554	11
2070	11
3938	11
4020	11
4656	11
4823	11
5445	11
5626	11
5698	11
5717	11
5775	11
5888	11
6449	11
6515	11
9276	11
9502	11
9688	11
11711	11
11982	11
12647	11
13257	11
13649	11
13925	11
14013	11
14545	11
17231	11
18901	11
19873	11
20088	11
26649	11
28361	11
29921	11
30794	11
31339	11
33298	11
35323	11
38855	11
3538	12
11328	12
15632	12
17433	12
32050	12
36395	12
2	13
6	13
24	13
34	13
37	13
49	13
53	13
63	13
75	13
136	13
211	13
261	13
292	13
431	13
561	13
597	13
606	13
608	13
657	13
759	13
899	13
1035	13
1067	13
1098	13
1186	13
1290	13
1309	13
1372	13
1630	13
1756	13
1984	13
2182	13
2189	13
2250	13
2501	13
2818	13
3343	13
3496	13
3566	13
3699	13
3801	13
3925	13
4192	13
4283	13
4562	13
4623	13
5100	13
5571	13
7488	13
7683	13
7744	13
8089	13
8255	13
8543	13
10747	13
11505	13
12045	13
12686	13
12763	13
12828	13
13979	13
14161	13
14403	13
14495	13
14758	13
15892	13
16369	13
16741	13
16847	13
16897	13
17370	13
18190	13
18313	13
19065	13
21612	13
21933	13
22447	13
23320	13
23868	13
24283	13
25017	13
25957	13
26067	13
26193	13
26484	13
27338	13
29301	13
29401	13
31031	13
31919	13
32299	13
33387	13
34024	13
35216	13
36455	13
36921	13
37869	13
38065	13
38153	13
38184	13
38209	13
38406	13
38652	13
38668	13
39045	13
39406	13
39772	13
40519	13
40605	13
40966	13
41876	13
42331	13
42797	13
42862	13
43004	13
0	14
18	14
24	14
36	14
91	14
97	14
153	14
196	14
211	14
261	14
372	14
456	14
474	14
651	14
687	14
916	14
935	14
1032	14
1174	14
1200	14
1212	14
1372	14
1382	14
1403	14
1638	14
1651	14
1784	14
2063	14
2451	14
2502	14
2805	14
3272	14
3728	14
3848	14
3925	14
4479	14
4625	14
4660	14
4664	14
4712	14
5698	14
6339	14
6577	14
8586	14
9915	14
10502	14
11099	14
11763	14
12234	14
12398	14
13167	14
13969	14
14013	14
14328	14
14389	14
15100	14
15171	14
15176	14
15222	14
15898	14
16175	14
16364	14
17077	14
17278	14
17404	14
17462	14
17477	14
17555	14
17571	14
17684	14
17728	14
17745	14
17910	14
18050	14
18153	14
18421	14
19200	14
19277	14
19807	14
20072	14
20617	14
20720	14
21090	14
21817	14
22447	14
23320	14
24435	14
25226	14
25397	14
25463	14
26067	14
26569	14
27035	14
27644	14
28018	14
28369	14
28698	14
28942	14
30839	14
30897	14
31031	14
31505	14
31610	14
33088	14
33387	14
33445	14
35216	14
36395	14
37492	14
38652	14
38723	14
39183	14
39772	14
40397	14
40487	14
40589	14
41242	14
41290	14
42827	14
43746	14
44400	14
1501	15
6513	15
16553	15
16916	15
25610	15
36707	15
0	16
3	16
10	16
11	16
18	16
23	16
26	16
35	16
43	16
88	16
101	16
183	16
189	16
215	16
236	16
238	16
261	16
264	16
266	16
269	16
292	16
380	16
494	16
518	16
523	16
678	16
687	16
733	16
864	16
1147	16
1198	16
1253	16
1294	16
1299	16
1312	16
1340	16
1637	16
1729	16
1746	16
1803	16
1813	16
1839	16
1893	16
2111	16
2307	16
2622	16
2693	16
2699	16
3098	16
3183	16
3232	16
3353	16
3457	16
3897	16
3925	16
3931	16
4148	16
4562	16
4609	16
4664	16
5072	16
5258	16
5347	16
5362	16
5427	16
5450	16
5521	16
5822	16
5949	16
6121	16
6126	16
6127	16
6170	16
6442	16
6493	16
6505	16
6936	16
7252	16
8276	16
8371	16
8882	16
9036	16
9462	16
10035	16
10773	16
10950	16
11080	16
12217	16
12992	16
13117	16
13343	16
13355	16
13371	16
13482	16
14309	16
15905	16
16016	16
16161	16
16189	16
16231	16
16553	16
16666	16
16669	16
16948	16
17275	16
17278	16
17672	16
17741	16
17960	16
17998	16
18038	16
18622	16
18937	16
20295	16
21933	16
22250	16
23563	16
25051	16
25069	16
25129	16
25304	16
25587	16
25934	16
29184	16
29653	16
30789	16
36395	16
38257	16
38792	16
38890	16
39959	16
40203	16
40710	16
42126	16
42590	16
2237	17
7499	17
9119	17
17770	17
26070	17
40487	17
10	18
11	18
14	18
16	18
26	18
30	18
64	18
196	18
205	18
211	18
261	18
282	18
292	18
294	18
314	18
390	18
456	18
468	18
500	18
545	18
553	18
566	18
678	18
687	18
916	18
996	18
1071	18
1174	18
1200	18
1403	18
1632	18
1762	18
1839	18
1914	18
2008	18
2070	18
2502	18
2913	18
3010	18
3131	18
3225	18
3535	18
3634	18
3762	18
3868	18
3891	18
4020	18
4562	18
4785	18
5362	18
5626	18
6126	18
6197	18
6386	18
6437	18
7191	18
7225	18
8448	18
8562	18
9311	18
10734	18
11052	18
11338	18
11350	18
11666	18
11715	18
12318	18
12382	18
12798	18
12970	18
14328	18
14551	18
14637	18
14968	18
15368	18
16189	18
16230	18
16751	18
16892	18
17051	18
17398	18
17998	18
18046	18
18174	18
18730	18
18758	18
18794	18
19494	18
20217	18
20714	18
21315	18
21866	18
22014	18
23320	18
23740	18
26684	18
27213	18
28622	18
29013	18
31339	18
31919	18
33172	18
34494	18
35335	18
36497	18
36809	18
37012	18
38580	18
38855	18
40004	18
40555	18
42175	18
43263	18
44291	18
44339	18
5575	19
9929	19
12396	19
16584	19
17055	19
18216	19
21933	19
30607	19
31070	19
31919	19
33908	19
35344	19
36472	19
42620	19
43684	19
43768	19
49	20
70	20
93	20
136	20
205	20
211	20
292	20
308	20
561	20
657	20
1178	20
2128	20
2238	20
2364	20
2414	20
2540	20
3123	20
3164	20
3925	20
3935	20
4938	20
5391	20
8393	20
12846	20
15965	20
16655	20
17479	20
17623	20
17746	20
18899	20
18936	20
19065	20
20509	20
21975	20
22677	20
23320	20
23866	20
25102	20
25485	20
26190	20
30889	20
31038	20
31128	20
36472	20
43212	20
43570	20
44079	20
0	21
3	21
22	21
156	21
183	21
272	21
2032	21
12408	21
31333	21
33298	21
36395	21
43416	21
0	22
11	22
21	22
166	22
183	22
211	22
272	22
1223	22
2032	22
12408	22
12992	22
22661	22
23974	22
25340	22
25565	22
33298	22
33663	22
34011	22
34929	22
36395	22
43416	22
6	23
16	23
35	23
562	23
733	23
976	23
1746	23
1945	23
2321	23
2622	23
3232	23
3324	23
3862	23
4543	23
5181	23
5388	23
5450	23
6580	23
8276	23
8371	23
8499	23
9036	23
12647	23
13925	23
14902	23
15014	23
15393	23
16948	23
17065	23
18622	23
20064	23
20865	23
20942	23
21996	23
23437	23
36395	23
3	24
13	24
14	24
26	24
33	24
71	24
76	24
88	24
91	24
196	24
211	24
233	24
251	24
256	24
261	24
292	24
296	24
362	24
372	24
397	24
474	24
545	24
651	24
657	24
678	24
687	24
728	24
815	24
856	24
916	24
1032	24
1174	24
1188	24
1200	24
1372	24
1637	24
1651	24
1784	24
1832	24
1857	24
1953	24
1955	24
2178	24
2282	24
2445	24
2451	24
2502	24
3000	24
3560	24
3819	24
4479	24
4507	24
4562	24
4785	24
5145	24
5203	24
5681	24
5688	24
5698	24
6386	24
6859	24
7293	24
7683	24
7991	24
9915	24
10502	24
11099	24
11505	24
12240	24
12273	24
13167	24
13501	24
13506	24
13898	24
14013	24
14763	24
15898	24
16140	24
16168	24
16347	24
16372	24
16740	24
17387	24
17462	24
17571	24
17684	24
17858	24
18816	24
19200	24
19477	24
19492	24
19807	24
20072	24
20441	24
20889	24
21438	24
21890	24
22447	24
22878	24
25114	24
25397	24
26151	24
26260	24
27035	24
27537	24
27969	24
28018	24
28952	24
29542	24
30789	24
31031	24
33387	24
33445	24
34703	24
35139	24
35216	24
35243	24
36697	24
36921	24
38435	24
38458	24
38652	24
38723	24
39183	24
39732	24
40045	24
42855	24
43556	24
0	25
60	25
72	25
81	25
180	25
211	25
261	25
298	25
372	25
486	25
561	25
677	25
1138	25
1473	25
1599	25
3922	25
5283	25
5618	25
5642	25
7764	25
9620	25
9766	25
10468	25
10563	25
12447	25
12626	25
13373	25
14465	25
15071	25
16469	25
16971	25
17138	25
17360	25
21178	25
22819	25
26417	25
26781	25
28113	25
29213	25
31070	25
31794	25
32900	25
34926	25
36395	25
36455	25
36543	25
36835	25
36986	25
37127	25
38989	25
39052	25
40633	25
41153	25
41386	25
41915	25
42058	25
42873	25
43168	25
7	26
10	26
11	26
16	26
18	26
24	26
97	26
183	26
196	26
211	26
282	26
285	26
292	26
294	26
324	26
390	26
456	26
468	26
501	26
516	26
522	26
541	26
553	26
562	26
645	26
649	26
651	26
812	26
878	26
916	26
1023	26
1170	26
1204	26
1250	26
1294	26
1299	26
1372	26
1554	26
1784	26
1839	26
2106	26
2241	26
2307	26
3131	26
3152	26
4020	26
4126	26
4656	26
4785	26
5445	26
5698	26
5717	26
5775	26
5888	26
6449	26
9276	26
9688	26
11275	26
11618	26
12942	26
13257	26
13649	26
13925	26
14013	26
14617	26
16145	26
16347	26
17113	26
17278	26
17571	26
17684	26
17987	26
18070	26
18638	26
19200	26
19807	26
19873	26
21890	26
23320	26
23941	26
27035	26
28361	26
28952	26
29921	26
31031	26
31339	26
33387	26
33787	26
33908	26
34529	26
35070	26
35087	26
35216	26
36395	26
38652	26
38855	26
245	27
6792	27
10421	27
251	28
724	28
876	28
4623	28
5126	28
5427	28
6488	28
11505	28
