itemId	latitude	longitude	venue
0	51.93	4.47	Train Station
1	51.81	4.67	Train Station
2	19.43	-99.16	Neighborhood
3	19.43	-99.16	Mall
4	33.94	-118.41	Airport
5	36.08	-115.15	Airport
6	9.92	-84.05	Mall
7	9.96	-84.06	Grocery Store
8	41.03	28.98	Bar
9	41.08	29.05	Beach
10	41.04	28.89	Bus Station
11	41.09	29.06	Bridge
12	0.03	-51.05	Mall
13	0.04	-51.06	Building
14	33.82	-116.51	Airport
15	34.70	135.51	Train Station
16	34.70	135.50	Train Station
17	34.70	135.50	Bus Station
18	34.68	135.64	Train Station
19	34.68	135.51	Subway
20	35.17	138.91	Train Station
21	35.10	138.86	Train Station
22	35.10	138.86	Train Station
23	32.81	-96.74	Residential Building (Apartment / Condo)
24	-1.40	-48.43	Mall
25	-1.45	-48.49	Mall
26	-1.45	-48.49	Multiplex
27	34.68	135.54	Subway
28	34.69	135.55	Subway
29	34.69	135.55	Train Station
30	35.33	139.41	Train Station
31	35.53	139.70	Train Station
32	35.60	139.61	Train Station
33	35.60	139.61	Train Station
34	-23.56	-46.68	Road
35	-23.56	-46.67	Hookah Bar
36	28.43	-81.31	Airport
37	28.33	-81.61	Home (private)
38	38.32	140.88	Subway
39	38.26	140.88	Subway
40	35.70	139.76	Train Station
41	35.69	139.79	Subway
42	34.70	135.50	Train Station
43	34.99	135.76	Train Station
44	13.74	100.47	Field
45	13.76	100.47	Farmers Market
46	13.77	100.48	Road
47	13.76	100.50	High School
48	-33.01	-71.55	Mall
49	-32.98	-71.53	Home (private)
50	34.96	136.92	Train Station
51	35.02	136.89	Train Station
52	35.13	136.91	Train Station
53	-12.12	-77.03	Plaza
54	-12.09	-77.05	Trade School
55	40.65	-73.78	Airport
56	40.75	-73.98	Train Station
57	35.47	139.62	Train Station
58	35.69	139.70	Train Station
59	34.79	135.44	Airport Terminal
60	34.80	135.46	College Engineering Building
61	13.74	100.53	Other Great Outdoors
62	13.74	100.53	Building
63	40.82	-85.83	Home (private)
64	43.04	141.47	Train Station
65	42.79	141.68	Airport
66	34.70	137.73	Train Station
67	-25.46	-49.22	Home (private)
68	-33.48	-70.65	Subway
69	-33.45	-70.66	Subway
70	-33.51	-70.68	Home (private)
71	1.45	124.82	Home (private)
72	1.46	124.83	Medical School
73	13.70	100.61	Train Station
74	13.74	100.56	Train Station
75	-33.47	-70.62	Subway
76	-33.45	-70.68	Mall
77	-33.57	-70.58	Subway
78	30.20	-97.67	Airport
79	33.44	-112.00	Airport
80	3.17	101.67	Mall
81	3.08	101.61	High School
82	34.97	138.39	Train Station
83	35.63	139.74	Train Station
84	19.46	-99.22	Office
85	19.52	-99.22	Garden Center
86	-19.97	-43.94	Plaza
87	-19.94	-43.93	Home (private)
88	44.88	-93.21	Airport
89	19.50	-99.18	Office
90	19.46	-99.17	Park
91	19.43	-99.14	Other Great Outdoors
92	-33.46	-70.59	Plaza
93	-33.45	-70.59	Building
94	-7.30	-39.31	Home (private)
95	0.04	-51.09	General College & University
96	0.00	-51.07	Home (private)
97	35.61	139.63	Train Station
98	35.61	139.69	Train Station
99	35.63	139.74	Train Station
100	4.69	-74.13	Airport Terminal
101	-33.54	-70.62	Subway
102	-33.54	-70.66	Subway
103	-33.45	-70.67	Subway
104	36.06	139.51	Train Station
105	0.03	-51.06	College & University
106	-0.03	-51.18	Bar
107	35.74	139.65	Train Station
108	35.77	139.66	Grocery Store
109	35.77	139.66	Bookstore
110	20.67	-103.43	Other Great Outdoors
111	20.68	-103.43	Mall
112	35.55	139.65	Bookstore
113	35.55	139.65	Fast Food Restaurant
114	35.56	139.65	University
115	-12.18	-77.01	Bus Station
116	-12.11	-77.03	Home (private)
117	35.63	139.72	Train Station
118	35.70	139.70	Train Station
119	35.74	139.49	Train Station
120	-23.65	-46.71	Bus Station
121	-23.67	-46.65	Home (private)
122	35.70	139.77	Train Station
123	35.70	139.77	Electronics Store
124	9.99	-84.11	Mall
125	9.93	-84.08	Nightclub
126	35.73	139.88	Train Station
127	35.70	139.75	Train Station
128	35.70	139.75	Subway
129	30.44	-91.02	Optical Shop
130	30.56	-90.55	Home (private)
131	-36.92	174.76	School
132	49.21	-122.96	Home (private)
133	-3.09	-60.04	Residential Building (Apartment / Condo)
134	-3.08	-60.04	Home (private)
135	36.03	138.02	Train Station
136	36.06	138.04	Train Station
137	36.05	138.12	Train Station
138	10.71	122.55	Mall
139	10.71	122.55	Miscellaneous Shop
140	35.76	-78.78	Bookstore
141	35.92	-78.81	Residential Building (Apartment / Condo)
142	-12.10	-77.03	Bus Station
143	-12.09	-77.03	Bridge
144	35.17	136.88	Train Station
145	35.17	136.88	Department Store
146	34.44	132.92	Airport
147	35.66	139.76	Train Station
148	35.66	139.70	Train Station
149	3.20	101.74	Mall
150	3.20	101.74	Multiplex
151	32.90	-97.04	Airport
152	13.85	100.57	University
153	13.85	100.57	College Auditorium
154	19.43	-99.13	Plaza
155	19.43	-99.14	Opera House
156	34.72	135.38	Train Station
157	34.70	135.50	Mall
158	24.13	-110.28	Home (private)
159	24.13	-110.34	Home (private)
160	41.94	-87.65	Train Station
161	41.88	-87.64	Train Station
162	13.67	-89.29	Professional & Other Places
163	13.68	-89.28	Building
164	35.17	136.88	Mall
165	35.17	136.88	Mall
166	34.73	135.64	Train Station
167	34.84	135.71	University
168	3.11	101.55	Fire Station
169	3.07	101.52	Mall
170	3.07	101.52	Mall
171	35.61	140.11	Train Station
172	35.58	140.13	Train Station
173	35.67	140.01	Train Station
174	35.71	139.96	Train Station
175	35.69	140.02	Train Station
176	3.06	101.62	University
177	3.06	101.62	Caf�
178	51.04	3.74	Home (private)
179	50.87	4.27	Office
180	35.65	139.54	Department Store
181	35.66	139.54	Dumpling Restaurant
182	35.55	139.78	Airport Terminal
183	35.58	139.56	Train Station
184	35.70	139.78	Bar
185	35.70	139.48	Train Station
186	34.75	135.61	Train Station
187	34.70	135.53	Train Station
188	34.69	135.52	Train Station
189	35.71	139.69	Subway
190	35.71	139.70	Arcade
191	50.49	30.63	Home (private)
192	50.46	30.65	Subway
193	35.42	137.06	Train Station
194	35.38	136.95	Train Station
195	35.14	136.90	Train Station
196	35.16	136.91	Subway
197	35.16	136.90	Electronics Store
198	3.16	101.72	Light Rail
199	3.16	101.71	Mall
200	-3.11	-60.01	Grocery Store
201	-3.10	-60.01	Home (private)
202	-6.19	106.74	Residential Building (Apartment / Condo)
203	-6.19	106.73	Mall
204	35.14	136.90	Train Station
205	35.01	136.96	Train Station
206	35.16	136.91	Electronics Store
207	33.59	130.42	Train Station
208	33.59	130.42	Train Station
209	32.79	130.69	Train Station
210	14.57	121.07	Office
211	14.56	121.04	Mall
212	50.46	30.36	Home (private)
213	50.45	30.50	Office
214	13.85	100.57	College Auditorium
215	13.85	100.57	College Cafeteria
216	35.66	139.70	Record Shop
217	35.66	139.70	General Entertainment
218	0.03	-51.06	Fast Food Restaurant
219	0.03	-51.06	Home (private)
220	13.75	100.53	Mall
221	19.44	-99.20	Mall
222	19.24	-99.12	Home (private)
223	39.87	32.73	University
224	39.87	32.74	University
225	36.10	-115.17	Casino
226	36.12	-115.17	Casino
227	35.67	139.83	Subway
228	35.68	139.78	Subway
229	35.68	139.77	Train Station
230	35.70	139.77	Neighborhood
231	35.70	139.77	Hobby Shop
232	35.70	139.77	Bookstore
233	35.70	139.77	Bookstore
234	35.70	139.79	Train Station
235	35.72	139.86	Train Station
236	35.72	139.93	Train Station
237	43.07	141.35	Train Station
238	43.07	141.35	Subway
239	43.08	141.34	University
240	35.17	136.88	Train Station
241	13.91	100.50	Road
242	13.90	100.53	Mall
243	13.86	100.54	Mall
244	35.57	139.66	Train Station
245	35.65	139.75	Train Station
246	1.47	124.83	Mall
247	1.47	124.83	Multiplex
248	3.05	101.51	General College & University
249	-33.45	-70.64	Residential Building (Apartment / Condo)
250	-33.38	-70.53	Hospital
251	3.16	101.61	Furniture / Home Store
252	3.12	101.62	Road
253	3.04	101.62	Mall
254	35.68	139.77	Train Station
255	13.75	100.53	Train Station
256	13.75	100.53	Mall
257	13.74	100.53	Mall
258	33.59	130.40	Other Great Outdoors
259	33.59	130.40	Arcade
260	33.59	130.40	Department Store
261	33.59	130.40	Train Station
262	33.59	130.40	Bowling Alley
263	33.59	130.40	Mall
264	33.59	130.40	Home (private)
265	31.25	121.45	Train Station
266	31.24	121.47	Subway
267	31.21	121.55	Subway
268	52.52	13.39	Train Station
269	52.51	13.38	Train Station
270	52.51	13.38	Plaza
271	35.66	139.34	Train Station
272	45.55	9.33	Mall
273	45.55	9.33	Electronics Store
274	1.46	103.74	General College & University
275	1.46	103.76	Mall
276	9.97	-84.00	Housing Development
277	9.98	-84.00	Home (private)
278	35.32	139.56	Shrine
279	35.32	139.55	Train Station
280	35.32	139.55	Grocery Store
281	35.33	139.56	Temple
282	3.07	101.50	University
283	3.07	101.61	Mall
284	35.66	139.70	Train Station
