followee	follower
0	449
0	1612
0	4156
1	354
1	2049
1	2248
1	3821
2	335
2	625
2	1627
2	2288
2	3824
3	1572
3	1760
3	1922
3	2032
3	2118
3	2471
3	2868
3	3460
3	3504
3	3635
3	3780
3	4050
4	1300
5	116
6	219
6	375
6	444
6	445
6	1504
6	1917
6	1964
6	2632
6	3208
6	3656
6	3714
6	3883
7	248
7	1861
8	2440
8	3739
8	4183
9	538
9	1265
10	1423
11	1537
11	2622
12	129
12	178
12	216
12	270
12	301
12	458
12	496
12	858
12	1060
12	1083
12	1108
12	1450
12	1673
12	1805
12	1963
12	2134
12	2169
12	2282
12	2696
12	2879
12	3040
12	3095
12	3183
12	3246
12	3285
12	3383
12	3735
12	3858
13	707
13	3307
14	840
14	1119
14	3260
14	3809
14	3877
15	2036
16	185
16	698
16	1113
16	1166
16	1236
16	1867
16	2026
16	2122
16	3442
17	1753
17	2262
18	107
18	1147
18	1251
18	1374
18	1586
18	1587
18	2275
18	2493
18	2652
18	2730
18	3046
18	3759
19	437
19	744
20	668
20	892
20	1162
20	1201
20	1274
20	1816
20	2273
20	2289
20	2505
20	2520
20	2526
20	2615
20	3043
20	3202
20	3274
20	3309
20	3663
20	3671
20	3729
20	4057
21	1871
22	1568
23	268
23	378
23	1190
23	1753
23	2262
23	2273
23	2494
23	2526
23	2549
23	2614
23	3307
23	3940
23	4057
24	457
24	1252
24	1372
24	1914
24	2464
24	3006
24	3071
24	3611
24	3762
25	954
25	1950
25	2335
26	1639
27	1028
28	336
28	3734
29	129
29	954
29	1025
29	2240
29	2309
30	3923
31	3785
32	519
33	1408
33	1547
33	1672
33	4061
34	2335
34	4089
34	4181
35	397
35	482
35	567
35	1370
35	2545
35	3311
35	3695
36	525
36	3755
37	1276
38	2029
39	649
40	136
40	714
40	871
40	1104
40	1630
41	2707
42	757
42	1091
43	2374
43	3814
43	4100
44	48
44	628
44	806
44	812
44	854
44	1578
44	2327
44	3338
44	3787
44	3824
45	2202
46	733
46	800
46	927
46	1139
46	1227
46	1235
46	1444
46	1885
46	2837
46	3998
47	386
48	44
48	73
48	82
48	101
48	368
48	1227
48	1585
48	4003
49	1684
50	138
50	717
50	3829
50	3878
51	834
52	1669
53	286
53	316
53	416
53	504
53	2767
53	4090
54	2086
54	2917
54	3659
55	145
56	3845
57	121
57	308
57	356
57	1588
57	2007
57	2530
57	2722
57	2857
57	2947
57	3013
57	3412
57	3911
57	3966
57	4049
58	3915
58	4096
59	3098
60	1101
60	1337
60	1760
60	1953
60	2306
60	2471
60	3069
60	3297
60	3635
60	3780
61	149
61	186
61	327
61	724
61	993
61	1230
62	511
63	463
64	139
64	835
64	852
64	867
64	1161
64	1236
64	2828
64	2900
64	3360
64	4036
64	4056
65	80
65	82
65	90
65	186
65	352
65	385
65	600
65	662
65	788
65	793
65	800
65	882
65	920
65	986
65	993
65	1058
65	1193
65	1217
65	1224
65	1274
65	1296
65	1452
65	1599
65	1622
65	1627
65	1630
65	1735
65	1815
65	2047
65	2494
65	2837
65	2979
65	3544
65	3607
65	4057
66	3060
67	2529
67	3365
67	3419
68	1701
68	1748
68	1798
68	3252
68	4136
69	103
69	285
69	628
69	772
69	827
69	923
69	1026
69	1428
69	2327
70	1761
70	1885
70	1951
71	103
71	809
71	1020
71	2038
71	2273
71	2327
72	1925
73	48
73	82
73	562
73	574
73	801
73	887
73	1034
73	1507
73	1595
73	1597
73	1816
73	1843
73	2046
73	2154
73	2900
73	3422
73	3824
74	3190
74	3596
75	2541
76	2659
76	3500
76	3549
76	3554
77	1036
78	2086
78	3659
79	638
80	65
80	82
80	186
80	800
80	1228
80	1296
80	2979
81	82
81	106
81	215
81	221
81	261
81	313
81	333
81	358
81	376
81	526
81	552
81	594
81	595
81	603
81	606
81	628
81	668
81	736
81	740
81	788
81	806
81	852
81	869
81	892
81	907
81	1187
81	1218
81	1274
81	1296
81	1437
81	1444
81	1475
81	1578
81	1740
81	1761
81	2053
81	2273
81	2505
81	2520
81	2526
81	2544
81	2813
81	2944
81	3051
81	3202
81	3274
81	3677
81	3704
81	3729
81	3791
81	4057
81	4082
82	48
82	65
82	73
82	80
82	81
82	105
82	112
82	114
82	128
82	140
82	141
82	148
82	149
82	200
82	207
82	215
82	221
82	223
82	267
82	295
82	326
82	352
82	358
82	368
82	376
82	530
82	554
82	562
82	577
82	600
82	615
82	620
82	628
82	654
82	659
82	668
82	702
82	719
82	722
82	726
82	733
82	745
82	752
82	772
82	788
82	793
82	800
82	803
82	806
82	811
82	827
82	829
82	844
82	887
82	890
82	920
82	940
82	943
82	961
82	965
82	967
82	980
82	993
82	1011
82	1013
82	1026
82	1033
82	1034
82	1067
82	1069
82	1115
82	1146
82	1150
82	1163
82	1172
82	1175
82	1193
82	1203
82	1206
82	1223
82	1224
82	1227
82	1228
82	1235
82	1263
82	1274
82	1276
82	1296
82	1390
82	1428
82	1442
82	1444
82	1452
82	1490
82	1507
82	1546
82	1558
82	1578
82	1583
82	1585
82	1595
82	1599
82	1627
82	1629
82	1630
82	1711
82	1717
82	1735
82	1761
82	1769
82	1815
82	1816
82	1835
82	1843
82	1870
82	1968
82	2027
82	2047
82	2053
82	2166
82	2204
82	2207
82	2327
82	2399
82	2403
82	2469
82	2505
82	2520
82	2772
82	2815
82	2837
82	2845
82	2866
82	2918
82	2928
82	2943
82	2979
82	3016
82	3080
82	3194
82	3215
82	3253
82	3274
82	3281
82	3357
82	3359
82	3420
82	3422
82	3429
82	3459
82	3465
82	3519
82	3544
82	3589
82	3599
82	3600
82	3607
82	3609
82	3626
82	3677
82	3771
82	3787
82	3797
82	3824
82	3947
82	3998
82	4007
82	4045
82	4046
82	4054
82	4057
82	4070
82	4098
82	4135
83	713
84	1467
84	3668
85	2413
85	3563
85	3765
86	3686
87	168
87	643
87	2591
87	3387
87	4115
88	624
88	707
88	1143
88	2837
88	3544
89	349
89	357
89	725
89	2705
90	65
90	186
90	313
90	615
90	793
90	800
90	986
90	993
90	1296
90	1350
90	1599
90	1627
90	1735
90	3327
90	3544
91	3586
91	4014
91	4103
92	558
92	2153
92	2568
92	3726
93	1337
93	1953
93	2032
93	2118
93	2306
93	3441
93	3553
93	3816
94	1119
94	1677
95	3389
96	963
96	2656
97	435
98	184
98	272
98	1439
98	1754
98	2003
98	2142
98	2155
98	2785
98	2788
98	2855
98	2875
98	3024
98	3454
99	786
99	1020
99	1695
99	2531
99	3775
100	325
100	670
100	822
100	890
100	895
100	1665
100	1675
100	2265
100	2453
100	2893
100	3792
101	48
101	327
101	810
101	993
101	2885
101	3016
101	3677
102	3444
103	69
103	71
103	247
103	628
103	758
103	772
103	806
103	809
103	1020
103	1026
103	1184
103	1227
103	1546
103	2168
103	2327
103	2784
103	3202
103	3676
103	3787
103	4079
104	3649
104	3876
105	82
105	186
105	327
105	877
105	1118
105	1187
105	1191
105	1263
105	1342
105	1558
105	1835
105	1998
105	4204
106	81
106	595
106	628
